airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-14,19:30,2023-03-14,21:40,CRL,Brussels (Charleroi),NAP,Naples,02:10,FR 1310,-1,133.99,FR~1310~ ~~CRL~03/14/2023 19:30~NAP~03/14/2023 21:40~~
Ryanair,2023-03-13,2023-03-17,17:05,2023-03-17,19:15,CRL,Brussels (Charleroi),NAP,Naples,02:10,FR 1310,4,215.84,FR~1310~ ~~CRL~03/17/2023 17:05~NAP~03/17/2023 19:15~~
Ryanair,2023-03-13,2023-03-19,08:50,2023-03-19,11:00,CRL,Brussels (Charleroi),NAP,Naples,02:10,FR 1310,3,145.54,FR~1310~ ~~CRL~03/19/2023 08:50~NAP~03/19/2023 11:00~~
Ryanair,2023-03-13,2023-03-20,16:30,2023-03-20,18:40,CRL,Brussels (Charleroi),NAP,Naples,02:10,FR 1310,4,133.99,FR~1310~ ~~CRL~03/20/2023 16:30~NAP~03/20/2023 18:40~~
Ryanair,2023-03-13,2023-03-21,19:30,2023-03-21,21:40,CRL,Brussels (Charleroi),NAP,Naples,02:10,FR 1310,4,121.14,FR~1310~ ~~CRL~03/21/2023 19:30~NAP~03/21/2023 21:40~~
Ryanair,2023-03-13,2023-03-24,17:05,2023-03-24,19:15,CRL,Brussels (Charleroi),NAP,Naples,02:10,FR 1310,-1,128.36,FR~1310~ ~~CRL~03/24/2023 17:05~NAP~03/24/2023 19:15~~
Ryanair,2023-03-13,2023-03-26,09:45,2023-03-26,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,74.99,FR~1302~ ~~CRL~03/26/2023 09:45~NAP~03/26/2023 12:00~~
Ryanair,2023-03-13,2023-03-27,06:30,2023-03-27,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,40.91,FR~1302~ ~~CRL~03/27/2023 06:30~NAP~03/27/2023 08:45~~
Ryanair,2023-03-13,2023-03-27,09:30,2023-03-27,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,3,64.99,FR~1310~ ~~CRL~03/27/2023 09:30~NAP~03/27/2023 11:45~~
Ryanair,2023-03-13,2023-03-28,19:20,2023-03-28,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,5,62.7,FR~1302~ ~~CRL~03/28/2023 19:20~NAP~03/28/2023 21:35~~
Ryanair,2023-03-13,2023-03-29,16:35,2023-03-29,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,94.63,FR~1302~ ~~CRL~03/29/2023 16:35~NAP~03/29/2023 18:50~~
Ryanair,2023-03-13,2023-03-30,06:25,2023-03-30,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,94.63,FR~1302~ ~~CRL~03/30/2023 06:25~NAP~03/30/2023 08:40~~
Ryanair,2023-03-13,2023-03-31,09:10,2023-03-31,11:25,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,0,94.63,FR~1302~ ~~CRL~03/31/2023 09:10~NAP~03/31/2023 11:25~~
Ryanair,2023-03-13,2023-03-31,20:00,2023-03-31,22:15,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,147.86,FR~1310~ ~~CRL~03/31/2023 20:00~NAP~03/31/2023 22:15~~
Ryanair,2023-03-13,2023-04-01,07:45,2023-04-01,10:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,2,146.7,FR~1302~ ~~CRL~04/01/2023 07:45~NAP~04/01/2023 10:00~~
Ryanair,2023-03-13,2023-04-02,09:45,2023-04-02,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,4,178.99,FR~1302~ ~~CRL~04/02/2023 09:45~NAP~04/02/2023 12:00~~
Ryanair,2023-03-13,2023-04-03,06:30,2023-04-03,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,127.33,FR~1302~ ~~CRL~04/03/2023 06:30~NAP~04/03/2023 08:45~~
Ryanair,2023-03-13,2023-04-03,09:30,2023-04-03,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,4,142.66,FR~1310~ ~~CRL~04/03/2023 09:30~NAP~04/03/2023 11:45~~
Ryanair,2023-03-13,2023-04-04,19:20,2023-04-04,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,1,111.5,FR~1302~ ~~CRL~04/04/2023 19:20~NAP~04/04/2023 21:35~~
Ryanair,2023-03-13,2023-04-05,16:35,2023-04-05,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,2,95.41,FR~1302~ ~~CRL~04/05/2023 16:35~NAP~04/05/2023 18:50~~
Ryanair,2023-03-13,2023-04-06,06:25,2023-04-06,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,1,110.73,FR~1302~ ~~CRL~04/06/2023 06:25~NAP~04/06/2023 08:40~~
Ryanair,2023-03-13,2023-04-07,09:10,2023-04-07,11:25,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,129.38,FR~1302~ ~~CRL~04/07/2023 09:10~NAP~04/07/2023 11:25~~
Ryanair,2023-03-13,2023-04-07,20:00,2023-04-07,22:15,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,2,85.99,FR~1310~ ~~CRL~04/07/2023 20:00~NAP~04/07/2023 22:15~~
Ryanair,2023-03-13,2023-04-08,07:45,2023-04-08,10:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,2,86.99,FR~1302~ ~~CRL~04/08/2023 07:45~NAP~04/08/2023 10:00~~
Ryanair,2023-03-13,2023-04-09,09:45,2023-04-09,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,3,111.5,FR~1302~ ~~CRL~04/09/2023 09:45~NAP~04/09/2023 12:00~~
Ryanair,2023-03-13,2023-04-10,06:30,2023-04-10,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,3,115.99,FR~1302~ ~~CRL~04/10/2023 06:30~NAP~04/10/2023 08:45~~
Ryanair,2023-03-13,2023-04-10,09:30,2023-04-10,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,2,115.99,FR~1310~ ~~CRL~04/10/2023 09:30~NAP~04/10/2023 11:45~~
Ryanair,2023-03-13,2023-04-11,19:20,2023-04-11,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,2,127.33,FR~1302~ ~~CRL~04/11/2023 19:20~NAP~04/11/2023 21:35~~
Ryanair,2023-03-13,2023-04-12,16:35,2023-04-12,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,5,64.99,FR~1302~ ~~CRL~04/12/2023 16:35~NAP~04/12/2023 18:50~~
Ryanair,2023-03-13,2023-04-13,06:25,2023-04-13,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,41.99,FR~1302~ ~~CRL~04/13/2023 06:25~NAP~04/13/2023 08:40~~
Ryanair,2023-03-13,2023-04-14,09:10,2023-04-14,11:25,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,5,72.53,FR~1302~ ~~CRL~04/14/2023 09:10~NAP~04/14/2023 11:25~~
Ryanair,2023-03-13,2023-04-14,20:00,2023-04-14,22:15,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,26.99,FR~1310~ ~~CRL~04/14/2023 20:00~NAP~04/14/2023 22:15~~
Ryanair,2023-03-13,2023-04-15,07:45,2023-04-15,10:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,35.99,FR~1302~ ~~CRL~04/15/2023 07:45~NAP~04/15/2023 10:00~~
Ryanair,2023-03-13,2023-04-16,09:45,2023-04-16,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,4,41.5,FR~1302~ ~~CRL~04/16/2023 09:45~NAP~04/16/2023 12:00~~
Ryanair,2023-03-13,2023-04-17,06:30,2023-04-17,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,5,40.07,FR~1302~ ~~CRL~04/17/2023 06:30~NAP~04/17/2023 08:45~~
Ryanair,2023-03-13,2023-04-17,09:30,2023-04-17,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,30.44,FR~1310~ ~~CRL~04/17/2023 09:30~NAP~04/17/2023 11:45~~
Ryanair,2023-03-13,2023-04-18,19:20,2023-04-18,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,5,26.99,FR~1302~ ~~CRL~04/18/2023 19:20~NAP~04/18/2023 21:35~~
Ryanair,2023-03-13,2023-04-19,16:35,2023-04-19,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,26.67,FR~1302~ ~~CRL~04/19/2023 16:35~NAP~04/19/2023 18:50~~
Ryanair,2023-03-13,2023-04-20,06:25,2023-04-20,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,5,64.99,FR~1302~ ~~CRL~04/20/2023 06:25~NAP~04/20/2023 08:40~~
Ryanair,2023-03-13,2023-04-21,09:10,2023-04-21,11:25,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,85.99,FR~1302~ ~~CRL~04/21/2023 09:10~NAP~04/21/2023 11:25~~
Ryanair,2023-03-13,2023-04-21,20:00,2023-04-21,22:15,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,4,74.99,FR~1310~ ~~CRL~04/21/2023 20:00~NAP~04/21/2023 22:15~~
Ryanair,2023-03-13,2023-04-22,07:45,2023-04-22,10:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,85.99,FR~1302~ ~~CRL~04/22/2023 07:45~NAP~04/22/2023 10:00~~
Ryanair,2023-03-13,2023-04-23,09:45,2023-04-23,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,4,147.7,FR~1302~ ~~CRL~04/23/2023 09:45~NAP~04/23/2023 12:00~~
Ryanair,2023-03-13,2023-04-24,06:30,2023-04-24,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,99.99,FR~1302~ ~~CRL~04/24/2023 06:30~NAP~04/24/2023 08:45~~
Ryanair,2023-03-13,2023-04-24,09:30,2023-04-24,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,133.99,FR~1310~ ~~CRL~04/24/2023 09:30~NAP~04/24/2023 11:45~~
Ryanair,2023-03-13,2023-04-25,19:20,2023-04-25,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,1,111.61,FR~1302~ ~~CRL~04/25/2023 19:20~NAP~04/25/2023 21:35~~
Ryanair,2023-03-13,2023-04-26,16:35,2023-04-26,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,4,99.99,FR~1302~ ~~CRL~04/26/2023 16:35~NAP~04/26/2023 18:50~~
Ryanair,2023-03-13,2023-04-27,06:25,2023-04-27,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,89.92,FR~1302~ ~~CRL~04/27/2023 06:25~NAP~04/27/2023 08:40~~
Ryanair,2023-03-13,2023-04-28,09:10,2023-04-28,11:25,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,162.84,FR~1302~ ~~CRL~04/28/2023 09:10~NAP~04/28/2023 11:25~~
Ryanair,2023-03-13,2023-04-28,20:00,2023-04-28,22:15,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,107.63,FR~1310~ ~~CRL~04/28/2023 20:00~NAP~04/28/2023 22:15~~
Ryanair,2023-03-13,2023-04-29,07:45,2023-04-29,10:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,2,130.38,FR~1302~ ~~CRL~04/29/2023 07:45~NAP~04/29/2023 10:00~~
Ryanair,2023-03-13,2023-04-30,09:45,2023-04-30,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,4,130.38,FR~1302~ ~~CRL~04/30/2023 09:45~NAP~04/30/2023 12:00~~
Ryanair,2023-03-13,2023-05-01,06:30,2023-05-01,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,154.99,FR~1302~ ~~CRL~05/01/2023 06:30~NAP~05/01/2023 08:45~~
Ryanair,2023-03-13,2023-05-01,09:30,2023-05-01,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,154.99,FR~1310~ ~~CRL~05/01/2023 09:30~NAP~05/01/2023 11:45~~
Ryanair,2023-03-13,2023-05-02,19:20,2023-05-02,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,3,122.14,FR~1302~ ~~CRL~05/02/2023 19:20~NAP~05/02/2023 21:35~~
Ryanair,2023-03-13,2023-05-03,16:35,2023-05-03,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,111.5,FR~1302~ ~~CRL~05/03/2023 16:35~NAP~05/03/2023 18:50~~
Ryanair,2023-03-13,2023-05-04,06:25,2023-05-04,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,74.99,FR~1302~ ~~CRL~05/04/2023 06:25~NAP~05/04/2023 08:40~~
Ryanair,2023-03-13,2023-05-05,09:10,2023-05-05,11:25,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,3,133.99,FR~1302~ ~~CRL~05/05/2023 09:10~NAP~05/05/2023 11:25~~
Ryanair,2023-03-13,2023-05-05,20:00,2023-05-05,22:15,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,3,85.99,FR~1310~ ~~CRL~05/05/2023 20:00~NAP~05/05/2023 22:15~~
Ryanair,2023-03-13,2023-05-06,07:45,2023-05-06,10:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,83.81,FR~1302~ ~~CRL~05/06/2023 07:45~NAP~05/06/2023 10:00~~
Ryanair,2023-03-13,2023-05-07,09:45,2023-05-07,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,4,74.99,FR~1302~ ~~CRL~05/07/2023 09:45~NAP~05/07/2023 12:00~~
Ryanair,2023-03-13,2023-05-08,06:30,2023-05-08,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,47.99,FR~1302~ ~~CRL~05/08/2023 06:30~NAP~05/08/2023 08:45~~
Ryanair,2023-03-13,2023-05-08,09:30,2023-05-08,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,3,95.41,FR~1310~ ~~CRL~05/08/2023 09:30~NAP~05/08/2023 11:45~~
Ryanair,2023-03-13,2023-05-09,19:20,2023-05-09,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,59.04,FR~1302~ ~~CRL~05/09/2023 19:20~NAP~05/09/2023 21:35~~
Ryanair,2023-03-13,2023-05-10,16:35,2023-05-10,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,1,59.08,FR~1302~ ~~CRL~05/10/2023 16:35~NAP~05/10/2023 18:50~~
Ryanair,2023-03-13,2023-05-11,06:25,2023-05-11,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,3,41.99,FR~1302~ ~~CRL~05/11/2023 06:25~NAP~05/11/2023 08:40~~
Ryanair,2023-03-13,2023-05-12,09:10,2023-05-12,11:25,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,106.63,FR~1302~ ~~CRL~05/12/2023 09:10~NAP~05/12/2023 11:25~~
Ryanair,2023-03-13,2023-05-12,20:00,2023-05-12,22:15,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,80.51,FR~1310~ ~~CRL~05/12/2023 20:00~NAP~05/12/2023 22:15~~
Ryanair,2023-03-13,2023-05-13,07:45,2023-05-13,10:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,64.99,FR~1302~ ~~CRL~05/13/2023 07:45~NAP~05/13/2023 10:00~~
Ryanair,2023-03-13,2023-05-14,09:45,2023-05-14,12:00,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,4,99.99,FR~1302~ ~~CRL~05/14/2023 09:45~NAP~05/14/2023 12:00~~
Ryanair,2023-03-13,2023-05-15,06:30,2023-05-15,08:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,63.31,FR~1302~ ~~CRL~05/15/2023 06:30~NAP~05/15/2023 08:45~~
Ryanair,2023-03-13,2023-05-15,09:30,2023-05-15,11:45,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1310,-1,85.99,FR~1310~ ~~CRL~05/15/2023 09:30~NAP~05/15/2023 11:45~~
Ryanair,2023-03-13,2023-05-16,19:20,2023-05-16,21:35,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,91.88,FR~1302~ ~~CRL~05/16/2023 19:20~NAP~05/16/2023 21:35~~
Ryanair,2023-03-13,2023-05-17,16:35,2023-05-17,18:50,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,-1,178.99,FR~1302~ ~~CRL~05/17/2023 16:35~NAP~05/17/2023 18:50~~
Ryanair,2023-03-13,2023-05-18,06:25,2023-05-18,08:40,CRL,Brussels (Charleroi),NAP,Naples,02:15,FR 1302,1,206.99,FR~1302~ ~~CRL~05/18/2023 06:25~NAP~05/18/2023 08:40~~
