airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-26,17:00,2023-03-26,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,38.99,FR~6251~ ~~CRL~03/26/2023 17:00~CFU~03/26/2023 20:40~~
Ryanair,2023-03-13,2023-04-02,17:00,2023-04-02,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,154.09,FR~6251~ ~~CRL~04/02/2023 17:00~CFU~04/02/2023 20:40~~
Ryanair,2023-03-13,2023-04-09,17:00,2023-04-09,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,67.12,FR~6251~ ~~CRL~04/09/2023 17:00~CFU~04/09/2023 20:40~~
Ryanair,2023-03-13,2023-04-16,17:00,2023-04-16,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,38.99,FR~6251~ ~~CRL~04/16/2023 17:00~CFU~04/16/2023 20:40~~
Ryanair,2023-03-13,2023-04-23,17:00,2023-04-23,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,95.99,FR~6251~ ~~CRL~04/23/2023 17:00~CFU~04/23/2023 20:40~~
Ryanair,2023-03-13,2023-04-30,17:00,2023-04-30,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,135.64,FR~6251~ ~~CRL~04/30/2023 17:00~CFU~04/30/2023 20:40~~
Ryanair,2023-03-13,2023-05-07,17:00,2023-05-07,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,90.99,FR~6251~ ~~CRL~05/07/2023 17:00~CFU~05/07/2023 20:40~~
Ryanair,2023-03-13,2023-05-14,17:00,2023-05-14,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,4,101.39,FR~6251~ ~~CRL~05/14/2023 17:00~CFU~05/14/2023 20:40~~
Ryanair,2023-03-13,2023-05-21,17:00,2023-05-21,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,4,139.99,FR~6251~ ~~CRL~05/21/2023 17:00~CFU~05/21/2023 20:40~~
Ryanair,2023-03-13,2023-05-28,17:00,2023-05-28,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,114.89,FR~6251~ ~~CRL~05/28/2023 17:00~CFU~05/28/2023 20:40~~
Ryanair,2023-03-13,2023-06-01,18:20,2023-06-01,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,99.8,FR~6251~ ~~CRL~06/01/2023 18:20~CFU~06/01/2023 22:00~~
Ryanair,2023-03-13,2023-06-04,17:00,2023-06-04,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,90.99,FR~6251~ ~~CRL~06/04/2023 17:00~CFU~06/04/2023 20:40~~
Ryanair,2023-03-13,2023-06-05,19:20,2023-06-05,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,55.12,FR~6251~ ~~CRL~06/05/2023 19:20~CFU~06/05/2023 23:00~~
Ryanair,2023-03-13,2023-06-07,08:05,2023-06-07,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,94.99,FR~6251~ ~~CRL~06/07/2023 08:05~CFU~06/07/2023 11:45~~
Ryanair,2023-03-13,2023-06-08,18:20,2023-06-08,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,58.99,FR~6251~ ~~CRL~06/08/2023 18:20~CFU~06/08/2023 22:00~~
Ryanair,2023-03-13,2023-06-11,17:00,2023-06-11,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,101.39,FR~6251~ ~~CRL~06/11/2023 17:00~CFU~06/11/2023 20:40~~
Ryanair,2023-03-13,2023-06-12,19:20,2023-06-12,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,67.99,FR~6251~ ~~CRL~06/12/2023 19:20~CFU~06/12/2023 23:00~~
Ryanair,2023-03-13,2023-06-14,08:05,2023-06-14,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,100.59,FR~6251~ ~~CRL~06/14/2023 08:05~CFU~06/14/2023 11:45~~
Ryanair,2023-03-13,2023-06-15,18:20,2023-06-15,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,67.99,FR~6251~ ~~CRL~06/15/2023 18:20~CFU~06/15/2023 22:00~~
Ryanair,2023-03-13,2023-06-18,17:00,2023-06-18,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,99.8,FR~6251~ ~~CRL~06/18/2023 17:00~CFU~06/18/2023 20:40~~
Ryanair,2023-03-13,2023-06-19,19:20,2023-06-19,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,71.49,FR~6251~ ~~CRL~06/19/2023 19:20~CFU~06/19/2023 23:00~~
Ryanair,2023-03-13,2023-06-21,08:05,2023-06-21,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,4,87.99,FR~6251~ ~~CRL~06/21/2023 08:05~CFU~06/21/2023 11:45~~
Ryanair,2023-03-13,2023-06-22,18:20,2023-06-22,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,5,116.69,FR~6251~ ~~CRL~06/22/2023 18:20~CFU~06/22/2023 22:00~~
Ryanair,2023-03-13,2023-06-25,17:00,2023-06-25,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,156.27,FR~6251~ ~~CRL~06/25/2023 17:00~CFU~06/25/2023 20:40~~
Ryanair,2023-03-13,2023-06-26,19:20,2023-06-26,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,115.79,FR~6251~ ~~CRL~06/26/2023 19:20~CFU~06/26/2023 23:00~~
Ryanair,2023-03-13,2023-06-28,08:05,2023-06-28,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,132.54,FR~6251~ ~~CRL~06/28/2023 08:05~CFU~06/28/2023 11:45~~
Ryanair,2023-03-13,2023-06-29,18:20,2023-06-29,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,116.79,FR~6251~ ~~CRL~06/29/2023 18:20~CFU~06/29/2023 22:00~~
Ryanair,2023-03-13,2023-07-02,17:00,2023-07-02,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,160.99,FR~6251~ ~~CRL~07/02/2023 17:00~CFU~07/02/2023 20:40~~
Ryanair,2023-03-13,2023-07-03,19:20,2023-07-03,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,114.89,FR~6251~ ~~CRL~07/03/2023 19:20~CFU~07/03/2023 23:00~~
Ryanair,2023-03-13,2023-07-05,08:05,2023-07-05,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,167.99,FR~6251~ ~~CRL~07/05/2023 08:05~CFU~07/05/2023 11:45~~
Ryanair,2023-03-13,2023-07-06,18:20,2023-07-06,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,139.99,FR~6251~ ~~CRL~07/06/2023 18:20~CFU~07/06/2023 22:00~~
Ryanair,2023-03-13,2023-07-09,17:00,2023-07-09,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,185.99,FR~6251~ ~~CRL~07/09/2023 17:00~CFU~07/09/2023 20:40~~
Ryanair,2023-03-13,2023-07-10,19:20,2023-07-10,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,185.99,FR~6251~ ~~CRL~07/10/2023 19:20~CFU~07/10/2023 23:00~~
Ryanair,2023-03-13,2023-07-12,08:05,2023-07-12,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,154.09,FR~6251~ ~~CRL~07/12/2023 08:05~CFU~07/12/2023 11:45~~
Ryanair,2023-03-13,2023-07-13,18:20,2023-07-13,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,134.64,FR~6251~ ~~CRL~07/13/2023 18:20~CFU~07/13/2023 22:00~~
Ryanair,2023-03-13,2023-07-16,17:00,2023-07-16,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,139.99,FR~6251~ ~~CRL~07/16/2023 17:00~CFU~07/16/2023 20:40~~
Ryanair,2023-03-13,2023-07-17,19:20,2023-07-17,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,152.92,FR~6251~ ~~CRL~07/17/2023 19:20~CFU~07/17/2023 23:00~~
Ryanair,2023-03-13,2023-07-19,08:05,2023-07-19,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,4,238.39,FR~6251~ ~~CRL~07/19/2023 08:05~CFU~07/19/2023 11:45~~
Ryanair,2023-03-13,2023-07-20,18:20,2023-07-20,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,167.99,FR~6251~ ~~CRL~07/20/2023 18:20~CFU~07/20/2023 22:00~~
Ryanair,2023-03-13,2023-07-23,17:00,2023-07-23,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,179.19,FR~6251~ ~~CRL~07/23/2023 17:00~CFU~07/23/2023 20:40~~
Ryanair,2023-03-13,2023-07-24,19:20,2023-07-24,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,5,139.99,FR~6251~ ~~CRL~07/24/2023 19:20~CFU~07/24/2023 23:00~~
Ryanair,2023-03-13,2023-07-26,08:05,2023-07-26,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,153.92,FR~6251~ ~~CRL~07/26/2023 08:05~CFU~07/26/2023 11:45~~
Ryanair,2023-03-13,2023-07-27,18:20,2023-07-27,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,104.99,FR~6251~ ~~CRL~07/27/2023 18:20~CFU~07/27/2023 22:00~~
Ryanair,2023-03-13,2023-07-30,17:00,2023-07-30,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,204.99,FR~6251~ ~~CRL~07/30/2023 17:00~CFU~07/30/2023 20:40~~
Ryanair,2023-03-13,2023-07-31,19:20,2023-07-31,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,120.99,FR~6251~ ~~CRL~07/31/2023 19:20~CFU~07/31/2023 23:00~~
Ryanair,2023-03-13,2023-08-02,08:05,2023-08-02,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,210.99,FR~6251~ ~~CRL~08/02/2023 08:05~CFU~08/02/2023 11:45~~
Ryanair,2023-03-13,2023-08-03,18:20,2023-08-03,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,5,180.59,FR~6251~ ~~CRL~08/03/2023 18:20~CFU~08/03/2023 22:00~~
Ryanair,2023-03-13,2023-08-06,17:00,2023-08-06,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,160.99,FR~6251~ ~~CRL~08/06/2023 17:00~CFU~08/06/2023 20:40~~
Ryanair,2023-03-13,2023-08-07,19:20,2023-08-07,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,131.45,FR~6251~ ~~CRL~08/07/2023 19:20~CFU~08/07/2023 23:00~~
Ryanair,2023-03-13,2023-08-09,08:05,2023-08-09,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,104.79,FR~6251~ ~~CRL~08/09/2023 08:05~CFU~08/09/2023 11:45~~
Ryanair,2023-03-13,2023-08-10,18:20,2023-08-10,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,78.99,FR~6251~ ~~CRL~08/10/2023 18:20~CFU~08/10/2023 22:00~~
Ryanair,2023-03-13,2023-08-13,17:00,2023-08-13,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,5,90.49,FR~6251~ ~~CRL~08/13/2023 17:00~CFU~08/13/2023 20:40~~
Ryanair,2023-03-13,2023-08-14,19:20,2023-08-14,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,86.74,FR~6251~ ~~CRL~08/14/2023 19:20~CFU~08/14/2023 23:00~~
Ryanair,2023-03-13,2023-08-16,08:05,2023-08-16,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,67.99,FR~6251~ ~~CRL~08/16/2023 08:05~CFU~08/16/2023 11:45~~
Ryanair,2023-03-13,2023-08-17,18:20,2023-08-17,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,58.99,FR~6251~ ~~CRL~08/17/2023 18:20~CFU~08/17/2023 22:00~~
Ryanair,2023-03-13,2023-08-20,17:00,2023-08-20,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,79.19,FR~6251~ ~~CRL~08/20/2023 17:00~CFU~08/20/2023 20:40~~
Ryanair,2023-03-13,2023-08-21,19:20,2023-08-21,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,44.99,FR~6251~ ~~CRL~08/21/2023 19:20~CFU~08/21/2023 23:00~~
Ryanair,2023-03-13,2023-08-23,08:05,2023-08-23,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,1,67.99,FR~6251~ ~~CRL~08/23/2023 08:05~CFU~08/23/2023 11:45~~
Ryanair,2023-03-13,2023-08-24,18:20,2023-08-24,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,44.99,FR~6251~ ~~CRL~08/24/2023 18:20~CFU~08/24/2023 22:00~~
Ryanair,2023-03-13,2023-08-27,17:00,2023-08-27,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,74.29,FR~6251~ ~~CRL~08/27/2023 17:00~CFU~08/27/2023 20:40~~
Ryanair,2023-03-13,2023-08-28,19:20,2023-08-28,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,44.99,FR~6251~ ~~CRL~08/28/2023 19:20~CFU~08/28/2023 23:00~~
Ryanair,2023-03-13,2023-08-30,08:05,2023-08-30,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,95.79,FR~6251~ ~~CRL~08/30/2023 08:05~CFU~08/30/2023 11:45~~
Ryanair,2023-03-13,2023-08-31,18:20,2023-08-31,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,3,74.29,FR~6251~ ~~CRL~08/31/2023 18:20~CFU~08/31/2023 22:00~~
Ryanair,2023-03-13,2023-09-03,17:00,2023-09-03,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,115.79,FR~6251~ ~~CRL~09/03/2023 17:00~CFU~09/03/2023 20:40~~
Ryanair,2023-03-13,2023-09-04,19:20,2023-09-04,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,100.59,FR~6251~ ~~CRL~09/04/2023 19:20~CFU~09/04/2023 23:00~~
Ryanair,2023-03-13,2023-09-06,08:05,2023-09-06,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,90.99,FR~6251~ ~~CRL~09/06/2023 08:05~CFU~09/06/2023 11:45~~
Ryanair,2023-03-13,2023-09-07,18:20,2023-09-07,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,78.99,FR~6251~ ~~CRL~09/07/2023 18:20~CFU~09/07/2023 22:00~~
Ryanair,2023-03-13,2023-09-10,17:00,2023-09-10,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,101.39,FR~6251~ ~~CRL~09/10/2023 17:00~CFU~09/10/2023 20:40~~
Ryanair,2023-03-13,2023-09-11,19:20,2023-09-11,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,4,67.99,FR~6251~ ~~CRL~09/11/2023 19:20~CFU~09/11/2023 23:00~~
Ryanair,2023-03-13,2023-09-13,08:05,2023-09-13,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,87.99,FR~6251~ ~~CRL~09/13/2023 08:05~CFU~09/13/2023 11:45~~
Ryanair,2023-03-13,2023-09-14,18:20,2023-09-14,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,90.99,FR~6251~ ~~CRL~09/14/2023 18:20~CFU~09/14/2023 22:00~~
Ryanair,2023-03-13,2023-09-17,17:00,2023-09-17,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,77.09,FR~6251~ ~~CRL~09/17/2023 17:00~CFU~09/17/2023 20:40~~
Ryanair,2023-03-13,2023-09-18,19:20,2023-09-18,23:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,67.99,FR~6251~ ~~CRL~09/18/2023 19:20~CFU~09/18/2023 23:00~~
Ryanair,2023-03-13,2023-09-20,08:05,2023-09-20,11:45,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,2,66.49,FR~6251~ ~~CRL~09/20/2023 08:05~CFU~09/20/2023 11:45~~
Ryanair,2023-03-13,2023-09-21,18:20,2023-09-21,22:00,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,-1,90.99,FR~6251~ ~~CRL~09/21/2023 18:20~CFU~09/21/2023 22:00~~
Ryanair,2023-03-13,2023-09-24,17:00,2023-09-24,20:40,CRL,Brussels (Charleroi),CFU,Corfu,02:40,FR 6251,5,57.05,FR~6251~ ~~CRL~09/24/2023 17:00~CFU~09/24/2023 20:40~~
